1	admin	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36	2560x1440	Linux x86_64	192.168.192.1	2020-06-24 21:17:05.194
2	admin	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36	2560x1440	Linux x86_64	192.168.192.1	2020-06-24 21:18:15.016
3	admin	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36	2560x1440	Linux x86_64	192.168.192.1	2020-06-24 21:22:29.298
4	admin	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36	2560x1440	Linux x86_64	192.168.192.1	2020-06-24 21:23:50.031
5	anonymous	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36	2560x1440	Linux x86_64	172.18.0.1	2020-07-11 22:04:17.739
6	anonymous	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36	2560x1440	Linux x86_64	0:0:0:0:0:0:0:1	2020-07-13 09:30:46.53614
7	admin	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36	2560x1440	Linux x86_64	0:0:0:0:0:0:0:1	2020-07-13 09:32:54.39486
8	admin	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36	2560x1440	Linux x86_64	0:0:0:0:0:0:0:1	2020-07-13 09:34:13.177634
9	admin	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36	2560x1440	Linux x86_64	0:0:0:0:0:0:0:1	2020-07-13 09:36:23.517669
10	admin	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36	2560x1440	Linux x86_64	0:0:0:0:0:0:0:1	2020-07-13 09:36:27.821891
11	admin	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36	2560x1440	Linux x86_64	0:0:0:0:0:0:0:1	2020-07-13 09:37:46.781427
