73	admin	main.survey.instance.user	{"#":null}	2020-07-13 09:31:53.259733
74	admin	main.attestation.instance.user	{"#":null}	2020-07-13 09:31:59.3725
75	admin	main.attestation.run.list	{"#":null}	2020-07-13 09:32:01.238696
76	admin	main.attestation.run.create	{"#":null}	2020-07-13 09:32:03.168716
77	admin	main.attestation.run.view	{"#":null,"id":1}	2020-07-13 09:32:30.656492
78	admin	main.app.view|bookmarks-section	{"#":null,"id":97}	2020-07-13 09:32:38.173778
79	admin	main.app.view|change-initiative-section	{"#":null,"id":97}	2020-07-13 09:32:38.173508
80	admin	main.app.view	{"#":null,"id":97}	2020-07-13 09:32:38.192228
81	admin	main.attestation.run.view	{"#":null,"id":1}	2020-07-13 09:32:40.621134
82	admin	main.attestation.instance.user	{"#":null}	2020-07-13 09:32:50.430342
83	admin	main.attestation.instance.user	{"#":null}	2020-07-13 09:32:54.548927
84	admin	main.attestation.run.list	{"#":null}	2020-07-13 09:32:56.157999
85	admin	main.attestation.run.view	{"#":null,"id":1}	2020-07-13 09:32:58.219111
86	admin	main.attestation.run.list	{"#":null}	2020-07-13 09:33:01.769866
87	admin	main.attestation.run.create	{"#":null}	2020-07-13 09:33:03.649904
88	admin	main.attestation.run.view	{"#":null,"id":2}	2020-07-13 09:33:28.576867
89	admin	main.attestation.instance.user	{"#":null}	2020-07-13 09:33:32.117366
90	admin	main.home	{"#":null}	2020-07-13 09:33:34.079016
91	admin	main.playpen.4	{"#":null}	2020-07-13 09:34:13.317029
92	admin	main.playpen.4	{"#":null}	2020-07-13 09:36:24.181052
93	admin	main.playpen.4	{"#":null}	2020-07-13 09:36:28.404752
94	admin	main.playpen.4	{"#":null}	2020-07-13 09:37:46.906035
95	admin	main.playpen.4	{"#":null}	2020-07-13 09:39:53.828031
98	admin	main.playpen.4	{"#":null}	2020-07-13 10:00:00.652515
96	admin	main.playpen.4	{"#":null}	2020-07-13 09:59:30.146201
97	admin	main.playpen.4	{"#":null}	2020-07-13 09:59:46.109615
99	admin	main.playpen.4	{"#":null}	2020-07-13 10:01:00.499601
100	admin	main.playpen.4	{"#":null}	2020-07-13 10:01:06.247316
101	admin	main.playpen.4	{"#":null}	2020-07-13 10:01:13.086032
102	admin	main.playpen.4	{"#":null}	2020-07-13 10:01:34.9111
103	admin	main.playpen.4	{"#":null}	2020-07-13 10:02:25.477163
104	admin	main.playpen.4	{"#":null}	2020-07-13 10:02:30.018626
105	admin	main.playpen.4	{"#":null}	2020-07-13 10:02:41.602163
106	admin	main.playpen.4	{"#":null}	2020-07-13 10:02:46.746328
107	admin	main.playpen.4	{"#":null}	2020-07-13 10:03:29.20577
108	admin	main.playpen.4	{"#":null}	2020-07-13 10:05:27.694702
109	admin	main.playpen.4	{"#":null}	2020-07-13 11:04:14.703474
110	admin	main.playpen.4	{"#":null}	2020-07-13 11:04:19.188189
111	admin	main.playpen.4	{"#":null}	2020-07-13 11:04:50.48781
112	admin	main.playpen.4	{"#":null}	2020-07-13 11:07:03.716266
113	admin	main.playpen.4	{"#":null}	2020-07-13 11:07:20.385752
114	admin	main.playpen.4	{"#":null}	2020-07-13 11:07:37.330856
115	admin	main.playpen.4	{"#":null}	2020-07-13 11:08:28.10701
116	admin	main.playpen.4	{"#":null}	2020-07-13 11:09:54.349271
117	admin	main.playpen.4	{"#":null}	2020-07-13 11:10:49.086706
118	admin	main.playpen.4	{"#":null}	2020-07-13 11:11:02.307052
119	admin	main.playpen.4	{"#":null}	2020-07-13 11:11:25.616066
120	admin	main.playpen.4	{"#":null}	2020-07-13 11:11:42.184818
121	admin	main.playpen.4	{"#":null}	2020-07-13 11:11:46.103493
122	admin	main.playpen.4	{"#":null}	2020-07-13 11:11:58.539581
123	admin	main.playpen.4	{"#":null}	2020-07-13 11:12:12.01665
124	admin	main.playpen.4	{"#":null}	2020-07-13 11:12:20.222325
125	admin	main.playpen.4	{"#":null}	2020-07-13 11:12:40.940277
126	admin	main.playpen.4	{"#":null}	2020-07-13 11:12:53.902213
127	admin	main.playpen.4	{"#":null}	2020-07-13 11:13:15.00906
128	admin	main.playpen.4	{"#":null}	2020-07-13 11:13:37.735037
129	admin	main.playpen.4	{"#":null}	2020-07-13 11:14:09.126187
130	admin	main.playpen.4	{"#":null}	2020-07-13 11:14:44.869366
131	admin	main.playpen.4	{"#":null}	2020-07-13 11:15:02.369348
132	admin	main.playpen.4	{"#":null}	2020-07-13 11:15:20.083837
133	admin	main.playpen.4	{"#":null}	2020-07-13 11:16:00.686962
134	admin	main.playpen.4	{"#":null}	2020-07-13 11:16:25.68075
135	admin	main.playpen.4	{"#":null}	2020-07-13 11:16:35.720166
136	admin	main.playpen.4	{"#":null}	2020-07-13 11:16:44.548627
137	admin	main.playpen.4	{"#":null}	2020-07-13 11:16:58.11063
138	admin	main.playpen.4	{"#":null}	2020-07-13 11:17:09.581319
139	admin	main.playpen.4	{"#":null}	2020-07-13 11:17:25.212501
140	admin	main.playpen.4	{"#":null}	2020-07-13 11:17:40.544284
141	admin	main.playpen.4	{"#":null}	2020-07-13 11:18:20.938902
142	admin	main.playpen.4	{"#":null}	2020-07-13 11:18:34.870205
143	admin	main.playpen.4	{"#":null}	2020-07-13 11:18:44.76989
144	admin	main.playpen.4	{"#":null}	2020-07-13 11:18:56.430827
145	admin	main.playpen.4	{"#":null}	2020-07-13 11:19:08.577828
146	admin	main.playpen.4	{"#":null}	2020-07-13 11:20:04.990003
147	admin	main.playpen.4	{"#":null}	2020-07-13 11:20:47.110075
148	admin	main.playpen.4	{"#":null}	2020-07-13 11:21:13.623088
149	admin	main.playpen.4	{"#":null}	2020-07-13 11:21:22.64792
150	admin	main.playpen.4	{"#":null}	2020-07-13 11:21:42.683192
151	admin	main.playpen.4	{"#":null}	2020-07-13 11:21:54.475981
152	admin	main.playpen.4	{"#":null}	2020-07-13 11:22:23.269948
153	admin	main.playpen.4	{"#":null}	2020-07-13 11:23:11.075355
154	admin	main.playpen.4	{"#":null}	2020-07-13 11:23:22.943771
155	admin	main.playpen.4	{"#":null}	2020-07-13 11:23:39.952611
156	admin	main.playpen.4	{"#":null}	2020-07-13 11:23:46.758461
157	admin	main.playpen.4	{"#":null}	2020-07-13 11:23:56.487645
158	admin	main.playpen.4	{"#":null}	2020-07-13 11:24:07.527156
159	admin	main.playpen.4	{"#":null}	2020-07-13 11:24:26.772405
160	admin	main.playpen.4	{"#":null}	2020-07-13 11:24:39.017661
161	admin	main.playpen.4	{"#":null}	2020-07-13 11:26:46.226383
162	admin	main.playpen.4	{"#":null}	2020-07-13 11:27:28.926471
163	admin	main.playpen.4	{"#":null}	2020-07-13 11:27:42.789895
164	admin	main.playpen.4	{"#":null}	2020-07-13 11:27:58.784554
165	admin	main.playpen.4	{"#":null}	2020-07-13 11:28:33.755416
166	admin	main.playpen.4	{"#":null}	2020-07-13 11:30:00.177592
167	admin	main.playpen.4	{"#":null}	2020-07-13 11:30:55.718188
168	admin	main.playpen.4	{"#":null}	2020-07-13 11:31:17.473876
169	admin	main.playpen.4	{"#":null}	2020-07-13 11:32:04.686243
170	admin	main.home	{"#":null}	2020-07-13 12:58:37.12956
171	admin	main.system.list	{"#":null}	2020-07-13 12:58:42.920151
172	admin	main.system.involvement-kinds	{"#":null}	2020-07-13 12:58:48.803367
173	admin	main.home	{"#":null}	2020-07-13 13:01:11.688358
174	admin	main.app-group.view|apps-section	{"#":null,"id":5}	2020-07-13 13:01:13.446076
175	admin	main.app-group.view	{"#":null,"id":5}	2020-07-13 13:01:13.45693
176	admin	main.app-group.edit	{"#":null,"id":5}	2020-07-13 13:01:15.966048
177	admin	main.home	{"#":null}	2020-07-13 13:01:30.323635
178	admin	main.app.view|change-initiative-section	{"#":null,"id":97}	2020-07-13 13:01:38.011098
179	admin	main.app.view|bookmarks-section	{"#":null,"id":97}	2020-07-13 13:01:38.029465
180	admin	main.app.view	{"#":null,"id":97}	2020-07-13 13:01:38.047579
181	admin	main.app.view|data-flow-section	{"#":null,"id":97}	2020-07-13 13:01:44.513017
182	admin	main.physical-flow.view	{"#":null,"id":455}	2020-07-13 13:01:47.282167
183	admin	main.physical-flow.view|flow-spec-definition-section	{"#":null,"id":455}	2020-07-13 13:01:49.432283
184	admin	main.physical-specification.view	{"#":null,"id":103}	2020-07-13 13:01:51.010768
185	admin	main.system.list	{"#":null}	2020-07-13 13:04:16.205864
